,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
123,"Chocolata Body",Chivv,30187,https://open.spotify.com/track/7wI7U5PSfUNXhePdSIu5iX
124,Lippenstift,"Marco Borsato",30069,https://open.spotify.com/track/3D9MKbMaHCZjSEcCWf4wDm
125,"Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix","Maverick Sabre",30009,https://open.spotify.com/track/5PNvgiKSwMdjBsDsgFCFLX
126,"Out Of Town (feat. KM, NAVI & Quincy Promes)",Ocs,29864,https://open.spotify.com/track/7BuV6kuGMUDAmx0tl9qfP5
127,"Als Het Avond Is","Suzan & Freek",29722,https://open.spotify.com/track/1MWpdDDf3Yk0w6o4oviMFY
128,Africa,TOTO,29157,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
129,"Forever Yours - Avicii Tribute",Kygo,29118,https://open.spotify.com/track/3o1CUVeHIid49sabk6A6Nf
130,"Go Crazy","Chris Brown",29095,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
131,"De Toreador",Opgeblazen,28901,https://open.spotify.com/track/263LTQQjp6gLjxP2O7MFBD
132,"Kings & Queens","Ava Max",28885,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
133,Oceaan,Racoon,28818,https://open.spotify.com/track/7GWU6dQFjYF5YpsAUwZfGq
134,"SICKO MODE","Travis Scott",28768,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
135,"HIGHEST IN THE ROOM","Travis Scott",28752,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
136,"Piece Of Your Heart",MEDUZA,28717,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
137,"Mucho Dinero",Chivv,28681,https://open.spotify.com/track/0GOqusaomQcXWjIzRd4sE1
138,"My Bébé","Bryan Mg",28641,https://open.spotify.com/track/56EJ7v1FPHJWvvU89flvpW
139,"Don't Rush (feat. Headie One)","Young T & Bugsey",28629,https://open.spotify.com/track/7LRmDx4pMTQuOBBwRT1MCT
140,"Don't Call Me Up",Mabel,28558,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
141,Nacht,"Kraantje Pappie",28362,https://open.spotify.com/track/06Wn0NldbOhwpKCsoTsUp7
142,"Anderhalf (feat. Poke & Judeska)","Ali B",28180,https://open.spotify.com/track/4fmNSmnh5hFOHZ1vXOEgvN
143,"Deze Is Voor Mij","Suzan & Freek",27687,https://open.spotify.com/track/3eDGSll7NmfGQ8C5hen4gf
144,"Tell Me U Luv Me (with Trippie Redd)","Juice WRLD",27602,https://open.spotify.com/track/4CNcRgjGw1v9VQaTaytdnD
145,Sterrenstof,"De Jeugd Van Tegenwoordig",27512,https://open.spotify.com/track/7D5vAulNfrQV6xEwzgH0OF
146,"Zolang Je Weet",Spanker,27487,https://open.spotify.com/track/77x3I35sEN3oA4A2EUPTNa
147,Savage,"Megan Thee Stallion",27459,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
148,"Banana (feat. Shaggy) - DJ FLe - Minisiren Remix",Conkarah,27369,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ
149,Arcade,"Duncan Laurence",27362,https://open.spotify.com/track/1Xi84slp6FryDSCbzq4UCD
150,"Zo Kan Het Dus Ook",Maan,27097,https://open.spotify.com/track/6u6UHWtW3XYWXJn3EdpzmZ
151,Shallow,"Lady Gaga",27016,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
152,"All on Me (feat. Andreas Moe)","Armin van Buuren",26470,https://open.spotify.com/track/54funePHN0bqVljoXY1YVO
153,"everything i wanted","Billie Eilish",26341,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
154,Kalmeer,"Jonna Fraser",26308,https://open.spotify.com/track/5kxxqoghBwjT2tO19qMwpm
155,IJskoud,Nielson,26293,https://open.spotify.com/track/2zVNIG9cfMyFxt8XqJ64s4
156,"Boss Bitch","Doja Cat",26054,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
157,Memories,Boef,25925,https://open.spotify.com/track/7muicvRPVglfHRtBHpSFqH
158,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",25844,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
159,"Lucid Dreams","Juice WRLD",25841,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
160,"Kleine Jongen","Andre Hazes",25839,https://open.spotify.com/track/6vzj8d0yOzg3ELH2T4u0CC
161,"RITMO (Bad Boys For Life)","Black Eyed Peas",25674,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
162,Moment,"Kris Kross Amsterdam",25595,https://open.spotify.com/track/0J6sITdD8JMUBKaadJLV1U
