,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
180,"Boss Bitch","Doja Cat",24380,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
181,"Beautiful People (feat. Khalid)","Ed Sheeran",24301,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
182,"Can't Hold Us - feat. Ray Dalton","Macklemore & Ryan Lewis",24256,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
183,"Piece Of Your Heart",MEDUZA,24099,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
184,Robbery,"Juice WRLD",24067,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
185,"Like It Is",Kygo,23876,https://open.spotify.com/track/4dyrqiXUcK29hzrL2elqO3
186,"This City","Sam Fischer",23854,https://open.spotify.com/track/3H3r2nKWa3Yk5gt8xgmsEt
187,"Die Young",Sheppard,23710,https://open.spotify.com/track/0XSTOKFdWPXlAEliq17XRw
188,"Forever Yours - Avicii Tribute",Kygo,23679,https://open.spotify.com/track/3o1CUVeHIid49sabk6A6Nf
189,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",23517,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
190,Arcade,"Duncan Laurence",23379,https://open.spotify.com/track/1Xi84slp6FryDSCbzq4UCD
191,"De Toreador",Opgeblazen,23279,https://open.spotify.com/track/263LTQQjp6gLjxP2O7MFBD
192,"Make It Rain","Pop Smoke",23202,https://open.spotify.com/track/4TgHt7vKCimpywaiKfl0uj
193,"4 Life","Jonna Fraser",23072,https://open.spotify.com/track/4BV8ZyGLSNpt12q3OiZlOX
194,"Deep End Freestyle","Sleepy Hallow",23028,https://open.spotify.com/track/2AlYncTpVHKwHb55F9lF6O
195,"Verleden Tijd",Frenna,23028,https://open.spotify.com/track/7qkqUFKET2tAjVHLxlLYOe
196,IJskoud,Nielson,22914,https://open.spotify.com/track/2zVNIG9cfMyFxt8XqJ64s4
197,"Say You Won't Let Go","James Arthur",22761,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
198,"BON VIBES","Chip Charlez",22668,https://open.spotify.com/track/2zlp91MvE7y89ptUqPfPA2
199,Skechers,DripReport,22620,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
200,"Spanning (feat. JayMoreLife)","Young Ellens",22372,https://open.spotify.com/track/1qFQ7MRkGvLO8Q4MAAtFkt
